rootScript, transitiveSuccessors, treeDepth, treeWidth
kkrt,5,5,2
vzaxbzkm,2,3,1
awnla,9,10,1
eswb,4,5,1
hcbra,1,2,1
bvgejjqz,1,2,1
ghgp,1,2,1
pptxcbbp,2,3,1
mugz,7,7,2
oqds,3,4,1
oqdb,3,3,2
oqct,1,2,1
isaj,9,8,2
isag,2,3,1
oqcf,1,2,1
vabh,1,2,1
zeeh,2,3,1
esrw,1,2,1
aoeua,60,13,17
aaynujwz,4,3,3
vadx,1,2,1
kckubmzl,2,3,1
uawkemay,1,2,1
esps,1,2,1
vacj,3,3,2
vani,1,2,1
esnv,521,317,10
cqhs,1,2,1
lyoma,1,2,1
esmq,1,2,1
mupe,5,4,3
muoq,1,2,1
bhebgmpo,2,3,1
kkly,1,2,1
isjk,6,5,3
svig,6,7,1
bigoxlig,1,2,1
srcka,1,2,1
dflpa,1,2,1
kkkm,1,2,1
ibvqudeq,1,2,1
kkff,2,3,1
opun,3,4,1
svdr,1,2,1
ennwa,2,3,1
isbz,2,3,1
svqxibdq,1,2,1
vall,2,2,2
bwija,2,3,1
kkgx,1,2,1
vtwzztul,1,2,1
ckepb,2,3,1
esef,3,4,1
vavf,3,4,1
irms,1,2,1
jjibweil,1,2,1
vaut,1,2,1
zeyq,2,3,1
muyb,2,3,1
mmlya,2,3,1
kkcn,1,2,1
iror,4,5,1
iroq,1,2,1
irpf,1,2,1
muze,57,16,22
vaxt,2,3,1
suzp,6,7,1
sznfa,1,2,1
irip,1,2,1
zevj,1,2,1
wstexemm,1,2,1
esqnbykb,16,10,4
lrkxb,1,2,1
hvcwb,6,5,2
ervudnvn,14,10,3
zewo,4,5,1
irvk,1,2,1
iruv,1,2,1
qcovvxgu,1,2,1
ghqe,1,2,1
kjyd,1,2,1
yqsqa,2,2,2
kjzs,8,8,2
oqkv,1,2,1
nolwgexu,3,4,1
mvch,5,6,1
cpzmrpcz,1,2,1
myjoa,57,56,2
qgvmqtmq,63,52,2
erzn,1,2,1
xeibnlbo,1,2,1
cqvl,11,10,2
cqsr,4,5,1
vazd,1,2,1
eryj,2,3,1
pfwrb,1,2,1
zeph,1,2,1
nuaoqair,2,3,1
ngxfjzki,1,2,1
sutr,3,4,1
tsbnkqps,1,2,1
suuf,1,2,1
errp,1,2,1
fexkb,1,2,1
cozs,2,3,1
wyupngwl,1,2,1
kluu,1,2,1
gsqxdcre,6,7,1
mvkd,1,2,1
zdjz,5,5,2
dbbfkteo,1,2,1
zdjf,2,3,1
mreslpqb,6,6,2
bhehgpzk,10,11,1
zdhr,4,5,1
mviv,2,3,1
ggex,2,3,1
zder,1,2,1
zdex,4,5,1
ehbvudes,5,4,3
klsm,1,2,1
orbc,1,2,1
ermm,1,2,1
qatqzgbo,3,4,1
iqzh,7,8,1
mvfm,2,2,2
iqyn,2,3,1
suif,1,2,1
mvtl,15,15,2
mvty,1,2,1
dmrob,5,5,2
cpcf,2,3,1
wkzmmbbz,1,2,1
zdbi,1,2,1
zwyhfgxs,1,2,1
mvro,1,2,1
mvqz,10,8,3
dlsnekuy,4,5,1
clpmdrsl,1,2,1
zagzdkyb,2,3,1
tpihgnol,37,31,2
ircw,3,4,1
klir,1,2,1
oqxm,1,2,1
iytna,1,2,1
awoza,8,7,2
enoxa,2,3,1
awozc,1,2,1
mvnp,4,4,2
klhh,1,2,1
cpae,1,2,1
erfz,3,4,1
irae,4,3,3
kleh,6,7,1
zjwga,1,2,1
ggxk,1,2,1
sngxflsv,4,4,2
mvyr,2,3,1
ggvf,2,3,1
erdb,1,2,1
gzcqlpnj,53,33,5
jyvsrcem,2,3,1
vkmtcsdf,4,5,1
arxpa,26,18,2
orqz,5,6,1
orsn,1,2,1
gczva,3,4,1
mvyo,20,11,9
zgzja,5,5,2
wquzjpwh,5,4,2
vkkma,5,6,1
cpsxvebc,2,3,1
zdue,5,5,2
ucmvspez,1,2,1
ptviwzgz,1,2,1
eqwr,1,2,1
iqvp,4,5,1
kkzn,1,2,1
cpwf,2,2,2
sttw,20,17,3
gybqcttk,1,2,1
cpob,1,2,1
kkxb,1,2,1
hgwla,1,2,1
iqqq,2,3,1
matlavjh,32,30,2
axgtjhug,1,2,1
lwmua,2,3,1
bhfdyuuf,13,11,3
iiippuvc,2,3,1
ggis,1,2,1
xhsxkagm,7,8,1
nmoztfgr,19,19,2
ftnwa,16,9,8
fjmma,1,2,1
orie,11,10,2
kkwd,1,2,1
qypy,1,2,1
euvs,1,2,1
mwhi,8,9,1
msiqtzon,1,2,1
gjgm,1,2,1
mtnma,2,3,1
zcbx,2,3,1
mwjp,3,2,3
skbwbogo,3,4,1
pjjfa,1,2,1
agttprqc,1,2,1
aogwa,2,2,2
stmk,6,7,1
kyqvvhbt,2,2,2
euzh,1,2,1
zctca,1,2,1
stoe,1,2,1
gjny,1,2,1
stms,3,4,1
kywfa,1,2,1
mwpn,2,3,1
xgoifdxk,2,3,1
onpc,1,2,1
ajpqa,4,5,1
zumifzwl,1,2,1
iuiz,1,2,1
zbzr,11,12,1
iulc,2,3,1
mwtv,1,2,1
ontp,1,2,1
iukt,2,3,1
cskw,2,3,1
csky,3,4,1
kmpo,4,5,1
arwba,15,16,1
kmqm,1,2,1
csjv,4,5,1
ayybtleg,2,3,1
yjhfkxwf,1,2,1
euee,2,2,2
zcrz,8,9,1
oojj,1,2,1
ftpvjlbx,1,2,1
qokza,2,3,1
hsuhcngg,1,2,1
qyal,2,3,1
aogha,3,3,2
plfecqnk,1,2,1
iksja,1,2,1
csnh,1,2,1
oomv,8,4,6
qydz,2,3,1
lneka,8,7,2
kmgz,1,2,1
eugo,2,3,1
wcsja,4,5,1
wdvnfakq,1,2,1
sjauflxv,4,5,1
qygj,8,9,1
lymva,1,2,1
mxap,1,2,1
oobx,3,4,1
gjpn,1,2,1
klys,1,2,1
csus,1,2,1
gjqz,1,2,1
gjrq,1,2,1
vdjbpnle,2,3,1
sspv,1,2,1
gjst,5,6,1
mxei,14,13,2
jooya,1,2,1
sssr,7,8,1
eubm,30,5,25
qynd,18,6,5
qymg,9,8,3
gjvv,14,13,2
ddsnvcfm,3,4,1
oohv,1,2,1
mxly,1,2,1
wyvka,1,2,1
zbai,13,10,2
oomsihgw,1,2,1
fplhb,7,8,1
pjkga,1,2,1
epsja,1,2,1
gsfestne,1,2,1
qzrc,15,9,3
mxij,1,2,1
knsu,1,2,1
etvm,3,4,1
ezdyb,7,8,1
zbfz,8,9,1
opar,1,2,1
knxw,1,2,1
uiqgquxv,6,7,1
idsna,26,23,2
ssjf,11,5,3
mxmf,14,9,5
iwveofrw,3,4,1
knnp,3,3,2
etjn,1,2,1
nzoguxgh,1,2,1
ootk,4,4,2
etid,3,2,3
crcr,1,2,1
oorb,1,2,1
oorc,1,2,1
mxxx,2,3,1
pllya,1,2,1
etno,12,10,3
kxdda,1,2,1
zjtza,13,8,5
ttbga,4,4,2
knor,1,2,1
crih,2,3,1
oovq,1,2,1
ssaw,17,5,6
pfzkb,1,2,1
knpk,1,2,1
zbrs,1,2,1
bfwxa,4,4,2
ayxca,4,5,1
srvj,1,2,1
gwmquanm,1,2,1
isnw,3,4,1
opoe,13,11,2
aofga,10,11,1
islu,1,2,1
giwh,1,2,1
ywala,3,4,1
qzbg,6,4,4
qzbu,1,2,1
qzbj,3,2,3
qzge,8,7,3
isrc,8,8,2
myaj,1,2,1
dqwua,6,4,4
sorjvrpi,2,3,1
isqr,1,2,1
croi,4,5,1
iykcecrk,2,3,1
opsc,10,11,1
myaz,3,4,1
etev,1,2,1
mybc,4,4,2
qvbtobgm,5,6,1
sryh,2,2,2
qzfi,1,2,1
opev,1,2,1
tcpba,2,2,2
srmq,1,2,1
tcpca,2,3,1
nwxjxqex,1,2,1
qzke,1,2,1
zbip,1,2,1
opcx,1,2,1
opcl,5,2,5
phteruwd,1,2,1
yylha,1,2,1
zboe,1,2,1
crwh,1,2,1
jtcovhjq,1,2,1
qzof,5,6,1
qzpy,1,2,1
nyvhyxvc,1,2,1
giuc,1,2,1
uigca,15,11,3
zrglehdg,1,2,1
giqq,4,4,2
srov,1,2,1
mpmbpgvz,1,2,1
opig,3,4,1
sxrcoavt,2,3,1
altxa,3,4,1
qwxp,2,2,2
aagf,1,2,1
qwxu,2,3,1
vzshpglk,1,2,1
ioan,6,3,3
gliy,23,18,3
qwzh,1,2,1
nstvlqwu,1,2,1
mqjh,2,3,1
rbxwa,2,3,1
ruqfhtct,1,2,1
wgxewewl,6,5,2
gldd,1,2,1
szmo,7,8,1
qwuz,1,2,1
gler,5,5,2
ndnslsqu,1,2,1
qlksa,1,2,1
ewpg,2,3,1
kops,1,2,1
wmmznueh,1,2,1
ahbpgtlm,9,10,1
cbngahwx,7,8,1
szxl,1,2,1
qwox,11,5,5
mmjclpev,5,5,2
bxnkmwoz,5,6,1
qpslmtwb,1,2,1
crcyjatq,1,2,1
lbtda,1,2,1
qwqy,1,2,1
qwse,2,2,2
club,14,13,2
aail,1,2,1
glku,1,2,1
auaca,1,2,1
ibnihhmo,1,2,1
mpzx,1,2,1
dyosxujz,1,2,1
kovr,7,7,2
kowj,2,3,1
insv,3,4,1
glnh,11,9,3
aahs,1,2,1
clpj,1,2,1
gloi,2,3,1
aaib,4,4,2
qwhe,1,2,1
tuksahbm,1,2,1
wweuvnox,1,2,1
mqxw,1,2,1
ogxihpah,20,20,2
aavj,30,21,4
mqwv,2,3,1
cmnd,2,3,1
llvxsybl,1,2,1
fmaixptt,16,10,4
laosa,12,8,4
cmmw,1,2,1
mqud,3,4,1
aasm,3,4,1
gltu,3,4,1
mqtz,2,3,1
mqtn,3,4,1
qwfg,18,13,5
wsjva,2,3,1
aapq,2,2,2
aapx,30,5,25
mqut,2,3,1
infg,9,10,1
ewnk,34,32,2
jqpub,1,2,1
iiqeakny,13,12,2
ennzdwlp,16,13,2
rxkfonss,2,3,1
zate,1,2,1
cmfk,1,2,1
szjj,13,4,8
uwjeaiqw,20,12,2
iolgugni,1,2,1
ewkp,2,3,1
mqre,5,5,2
zaty,3,2,3
atemgpfp,2,3,1
foqclfqn,6,6,2
szdc,1,2,1
qlkvfrwc,1,2,1
vweea,2,3,1
aayp,1,2,1
indv,1,2,1
glera,1,2,1
wzrpgdjh,7,7,2
aaxt,4,4,2
emzfeoqm,1,2,1
cmal,3,4,1
cmai,1,2,1
ovey,5,5,2
abfz,2,3,1
evrw,10,10,2
skxya,1,2,1
mrmb,4,5,1
abfe,3,3,2
kpvq,3,3,2
kpvu,2,3,1
gkct,3,4,1
gkcs,1,2,1
zepzxreq,3,4,1
ckuo,2,3,1
umldmnae,12,12,2
qcprshhl,1,2,1
kprp,1,2,1
gnfna,1,2,1
tpila,2,3,1
udfma,1,2,1
ckqw,1,2,1
uqxeacyh,1,2,1
qxss,1,2,1
sywr,2,3,1
alvba,1,2,1
skybb,1,2,1
syxt,1,2,1
syxr,4,5,1
abos,6,7,1
uzzf,2,3,1
rxjeqbbu,1,2,1
mlngqwlp,1,2,1
qormgaxd,3,4,1
uzyz,9,9,2
sywn,1,2,1
mrbq,3,4,1
gkoj,5,5,2
ovlt,2,3,1
abij,2,3,1
gkkz,17,15,2
uzye,1,2,1
cknl,7,8,1
abjk,2,3,1
syug,2,3,1
siwqa,2,3,1
ovjj,1,2,1
evwr,1,2,1
qxmt,1,2,1
uzuw,1,2,1
ovgf,1,2,1
wmbzb,7,8,1
kpyf,4,5,1
ftsya,28,11,5
imoj,2,3,1
abwg,7,7,2
abvx,2,3,1
gnfba,6,5,2
gkwp,6,7,1
clmu,1,2,1
qxiv,8,9,1
abrv,2,3,1
oxzpa,2,3,1
sxzi,1,2,1
imih,3,4,1
iucwa,5,5,2
abuh,1,2,1
sapua,10,11,1
olyba,3,4,1
xsoebcrp,2,3,1
mbixufgx,2,3,1
rldsa,26,12,5
zqxlb,2,3,1
rupna,1,2,1
icmlrqtl,11,12,1
zhuvyuyl,1,2,1
glay,11,9,2
glao,1,2,1
clfh,1,2,1
clfj,3,4,1
tioxa,2,3,1
qxas,6,4,3
trqnnilh,2,3,1
thccbuti,2,3,1
abzb,7,6,2
plsza,2,3,1
wjtlakgh,12,13,1
owrfdhtf,2,3,1
kphz,9,8,2
lketcrgh,1,2,1
cfvla,5,6,1
kqqo,1,2,1
bymba,6,7,1
acez,4,5,1
orwz,1,2,1
eyuv,27,26,2
eyvf,94,9,25
riqra,6,7,1
acgd,6,7,1
qurl,3,3,2
quqt,1,2,1
lbvma,1,2,1
msjf,1,2,1
qusc,4,4,2
facqmcmh,3,3,2
aolja,1,2,1
fpqla,1,2,1
eyyg,2,3,1
xgaza,2,3,1
mskf,2,3,1
gnkl,4,2,4
cnzvuqjb,37,7,19
ikxja,2,3,1
acke,3,4,1
sxlg,11,11,2
wcwla,2,3,1
nydga,4,5,1
sxmu,16,4,8
msnu,2,2,2
gnnm,1,2,1
sxoc,1,2,1
quwi,3,4,1
kqyc,1,2,1
ofxqskdl,17,11,4
achx,1,2,1
cnvf,33,31,2
acnh,11,9,2
osal,1,2,1
ldwwa,9,4,6
aebmjdgr,1,2,1
kqyy,2,3,1
cnuo,23,20,4
uyty,1,2,1
uytp,2,3,1
acoj,2,3,1
quik,1,2,1
osch,3,4,1
quiw,3,4,1
yacgb,1,2,1
osdn,1,2,1
mscv,1,2,1
cnyr,2,2,2
aogsjasc,4,5,1
wnkqqljg,1,2,1
msdv,3,4,1
wrkqgtmh,1,2,1
cnzu,4,4,2
gnty,4,5,1
sxus,19,13,3
quml,4,5,1
gnvh,1,2,1
isdja,2,3,1
epavndcw,1,2,1
krbt,5,5,2
msfg,1,2,1
pqfxa,1,2,1
msxt,1,2,1
copr,13,7,2
swwr,4,5,1
ipni,2,3,1
ipod,1,2,1
copu,3,4,1
kqby,1,2,1
uzni,1,2,1
zhzknwkd,3,2,3
gnwz,2,3,1
uzmx,2,3,1
swyi,4,5,1
qubz,3,3,2
rppnhetj,5,3,4
ecjdb,1,2,1
hwzcahhi,1,2,1
acsq,3,4,1
come,1,2,1
comq,1,2,1
kqfk,1,2,1
swzx,101,18,26
qudn,1,2,1
qudd,2,3,1
osnd,2,3,1
adrhwovw,1,2,1
uzrk,35,18,4
ipqy,1,2,1
eygv,1,2,1
hbzua,1,2,1
rxrqypbz,1,2,1
uztz,1,2,1
ipum,1,2,1
kqhy,1,2,1
kqgi,2,3,1
uzti,1,2,1
coqz,7,8,1
kqgx,1,2,1
yactb,9,10,1
gobf,2,3,1
cohg,1,2,1
kqjo,1,2,1
eylw,1,2,1
sklxrxdu,2,2,2
sxbu,2,3,1
osui,1,2,1
atjlbwly,31,28,2
tffgubfc,2,3,1
osti,1,2,1
agcpa,2,2,2
hlrfa,5,6,1
uzjo,1,2,1
kqnw,1,2,1
oswi,1,2,1
ipjk,1,2,1
addb,6,5,2
goff,1,2,1
vtrda,2,3,1
sxfb,3,4,1
txsfa,4,4,2
sxfm,2,3,1
xegisuvm,4,5,1
uzlx,8,9,1
mwkwupif,14,14,2
uzmd,4,4,2
zcpoa,1,2,1
kqpj,9,9,2
sxeb,5,3,3
kqox,1,2,1
eyob,1,2,1
adab,17,5,12
mtko,2,3,1
aded,6,7,1
mtkg,34,23,3
swgg,1,2,1
nwbma,1,2,1
qvst,1,2,1
adfl,1,2,1
dmpga,2,3,1
adfo,5,6,1
aokhb,7,7,2
wuzsxdgj,5,6,1
hcesb,2,3,1
adhj,3,4,1
vwfoa,2,3,1
adik,1,2,1
adiq,2,3,1
adjg,5,6,1
qvym,2,3,1
otbw,62,57,2
rizzsytg,1,2,1
cnag,2,3,1
mtnf,1,2,1
pjgja,15,13,3
mtcr,2,3,1
swox,10,10,2
gmoo,1,2,1
mtcb,1,2,1
exyq,1,2,1
swpr,1,2,1
blvvxjdd,1,2,1
arzfa,5,5,2
adqf,1,2,1
iott,1,2,1
otdq,4,4,2
iozr,1,2,1
adrc,6,7,1
uicemdrl,1,2,1
adqo,1,2,1
dcabzkul,1,2,1
gmsn,1,2,1
adsb,2,3,1
klorzrbb,18,18,2
gmsk,1,2,1
othh,1,2,1
qvnv,3,3,2
qqkzyheb,2,3,1
cmxu,2,3,1
exap,3,2,3
svwl,1,2,1
jmkqa,2,3,1
xkfiudvt,7,8,1
qvco,2,3,1
otmv,1,2,1
advn,1,2,1
qvci,32,5,23
alwpb,14,4,11
jxenvyvf,1,2,1
gmwp,16,5,13
qmahatlz,7,8,1
kktea,12,9,2
adxn,2,3,1
lnava,1,2,1
pgluqgng,1,2,1
uykt,5,5,2
cnpp,3,4,1
rokxdhtk,4,5,1
ahhqwljw,2,3,1
cnog,1,2,1
muat,1,2,1
qvgl,1,2,1
ajvjb,1,2,1
krgx,1,2,1
exgg,5,5,2
qveo,9,8,2
mtts,6,7,1
ethga,1,2,1
mttc,1,2,1
mtsn,1,2,1
uydg,1,2,1
exlw,3,4,1
srvdkkyx,1,2,1
quwx,1,2,1
aedw,1,2,1
eckba,1,2,1
wepuvhfd,2,3,1
exmc,2,3,1
gnem,2,3,1
qgupmydq,62,33,12
iohc,2,3,1
aeer,8,7,2
ncvrhqjz,1,2,1
swal,2,3,1
vytksnmp,1,2,1
cnih,1,2,1
idnsa,3,3,2
qmkzfddl,1,2,1
kssq,1,2,1
faibrqzc,30,31,1
rvsvlynu,5,6,1
ssshazkx,1,2,1
nyfda,2,3,1
oidl,4,5,1
vjjd,1,2,1
qrvp,2,3,1
rllnkhhk,1,2,1
zhkla,1,2,1
cbeknhig,3,3,2
tjrzbwre,3,4,1
ptvnueij,1,2,1
jykiufzs,1,2,1
asnpjccj,4,4,2
chzk,1,2,1
iiyc,1,2,1
ryyka,1,2,1
iiyh,1,2,1
afdf,8,8,2
tvnuqdru,3,4,1
qrsl,3,4,1
ejjc,3,4,1
bquofjqo,7,7,2
xnidbcnr,2,3,1
xfobufmj,1,2,1
obgteygj,4,3,2
aexx,1,2,1
aeyz,1,2,1
ejib,3,4,1
nugpngec,1,2,1
ydhdyfqc,3,4,1
viyb,1,2,1
vixf,4,5,1
aest,4,4,2
rikja,2,3,1
qshm,1,2,1
ohpr,1,2,1
adqja,2,3,1
chgn,3,4,1
ijjw,1,2,1
virz,1,2,1
ijjt,2,3,1
obqoa,1,2,1
xkfgoflu,2,3,1
umpwbios,3,4,1
ohls,2,3,1
wnzna,3,4,1
ekbx,3,4,1
ekad,1,2,1
scywnioi,1,2,1
ekan,2,3,1
chiv,1,2,1
vjay,5,5,2
atqrafqg,5,6,1
lkbhazbt,12,7,2
auezpvld,1,2,1
qsrj,1,2,1
ijwk,1,2,1
qspq,4,4,2
bzjvhpzj,21,18,3
oiufwhpy,1,2,1
fljstpjp,8,5,3
qsnn,1,2,1
ohfv,56,14,20
ggsea,1,2,1
ddada,3,4,1
kmsda,7,8,1
ejyc,2,3,1
pvofa,4,4,2
aejq,1,2,1
nosuhtuk,2,3,1
qsxc,1,2,1
qsys,2,3,1
vhjsaahh,2,3,1
aggp,1,2,1
cgzg,3,3,2
viht,1,2,1
sssmzlcp,2,3,1
agej,1,2,1
fruza,2,3,1
agem,7,4,5
akfrwzcx,1,2,1
ihvh,18,18,2
einf,11,12,1
qssx,1,2,1
eioi,3,3,2
qsvs,3,2,3
ihwx,1,2,1
qsvd,1,2,1
agcm,1,2,1
ktrw,1,2,1
eilm,3,4,1
djuutucm,5,6,1
qswc,2,3,1
jgkka,1,2,1
ojbh,2,2,2
eimc,12,12,2
qsvx,2,2,2
yutxygzp,2,3,1
eiik,1,2,1
vimn,1,2,1
ktkq,1,2,1
qtbg,2,3,1
vinw,5,4,3
chfi,7,2,7
ktli,5,4,2
chcs,1,2,1
jexltjnt,1,2,1
chcl,2,2,2
zggkuauf,3,3,2
eysjjnxf,8,8,2
eihk,1,2,1
ruwozacl,2,3,1
xhpxewqf,6,6,2
oivp,2,3,1
chbi,6,6,2
vijx,1,2,1
kwpnuhay,1,2,1
ktiu,7,8,1
irusqhtt,1,2,1
vikt,3,4,1
pnsnicqs,1,2,1
vikz,1,2,1
yzvi,2,3,1
wuztb,1,2,1
atriqwfs,2,3,1
yzwu,17,8,4
aftba,8,9,1
cgkh,1,2,1
cgkg,2,3,1
ejcy,2,3,1
rmlvxodz,20,19,2
qtiu,4,4,2
rprwqaau,3,4,1
cmhfaajf,7,8,1
iimm,1,2,1
afvk,1,2,1
xusla,1,2,1
cghy,1,2,1
vdcxa,8,6,3
yzsc,22,14,6
kuae,2,3,1
rguyheas,1,2,1
cghb,6,5,2
afrz,2,3,1
zawqhheu,3,4,1
fbogfnrd,5,5,2
afrp,1,2,1
cgfo,1,2,1
qthf,4,5,1
cknoa,1,2,1
vhqs,1,2,1
ygaya,2,3,1
vhxgb,1,2,1
kuby,2,3,1
yzty,1,2,1
vhqn,2,3,1
kucj,2,2,2
aulnb,1,2,1
whsfa,1,2,1
cguh,1,2,1
fvkjnfrz,7,8,1
qtse,1,2,1
afpy,5,5,2
yznz,2,3,1
hjlmibag,4,5,1
qttw,2,3,1
afnk,1,2,1
ftfsktjw,1,2,1
ktskxhyr,1,2,1
znqovkrm,1,2,1
vuzzaivx,3,4,1
yzpz,3,4,1
iivs,7,7,2
pwycsrbi,1,2,1
cgrb,2,3,1
afnh,7,7,2
vbzbqutv,3,4,1
iiqn,1,2,1
yzjn,1,2,1
yzjq,38,11,22
oihy,1,2,1
afke,23,17,3
afjn,1,2,1
afjq,1,2,1
afjc,2,2,2
ktyy,2,3,1
qtpi,1,2,1
ktyq,15,16,1
afie,6,6,2
bflza,128,122,3
nailjinb,3,4,1
nako,1,2,1
ahex,2,3,1
najz,1,2,1
dihfvlle,19,19,2
vhbj,2,3,1
nnrpa,7,6,2
wahpa,10,9,2
eltl,11,6,2
uugha,1,2,1
uinba,2,2,2
ahyjdqbv,1,2,1
yzby,12,10,2
kuqk,45,44,2
ahgh,8,9,1
elsn,8,8,2
qpnq,1,2,1
atxystpf,13,7,6
elue,3,4,1
qpoe,4,3,2
ildw,2,3,1
vhet,1,2,1
napy,7,7,2
tmyzqgob,1,2,1
konxjaym,1,2,1
qpus,18,11,5
yzgv,7,7,2
ildn,5,3,4
oprqrtxe,1,2,1
yzfq,1,2,1
gblk,1,2,1
iswrugfv,1,2,1
elwu,4,3,2
mdeda,1,2,1
memrzzhh,2,3,1
zxmxa,1,2,1
nanu,1,2,1
gbme,2,3,1
yzep,1,2,1
yzem,8,9,1
gdaca,1,2,1
kwzza,21,16,4
sozma,1,2,1
ckfb,9,4,3
ilib,2,3,1
vhjb,5,3,4
eljy,2,3,1
phvjmtgz,1,2,1
qpvj,9,5,5
ileo,41,8,25
qpvl,2,3,1
ofpv,2,3,1
ckge,1,2,1
iuica,1,2,1
eiekadkc,1,2,1
vhlz,2,3,1
ofvj,1,2,1
pgxiqwld,1,2,1
ahau,3,4,1
illj,4,5,1
gbft,4,5,1
azibzosf,2,3,1
